id,season,city,date,team1,team2,toss_winner,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match
280,2011,Bangalore,06-05-2011,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,normal,0,Royal Challengers Bangalore,85,0,CH Gayle
281,2011,Kolkata,07-05-2011,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,normal,1,Kolkata Knight Riders,10,0,Iqbal Abdulla
282,2011,Mumbai,07-05-2011,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,normal,0,Mumbai Indians,32,0,AT Rayudu
283,2011,Bangalore,08-05-2011,Kochi Tuskers Kerala,Royal Challengers Bangalore,Kochi Tuskers Kerala,normal,0,Royal Challengers Bangalore,0,9,CH Gayle
284,2011,Chandigarh,08-05-2011,Kings XI Punjab,Pune Warriors,Kings XI Punjab,normal,0,Pune Warriors,0,5,R Sharma
285,2011,Jaipur,09-05-2011,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,normal,0,Chennai Super Kings,63,0,M Vijay
286,2011,Hyderabad,10-05-2011,Deccan Chargers,Pune Warriors,Deccan Chargers,normal,0,Pune Warriors,0,6,MR Marsh
287,2011,Chandigarh,10-05-2011,Kings XI Punjab,Mumbai Indians,Mumbai Indians,normal,0,Kings XI Punjab,76,0,BA Bhatt
288,2011,Jaipur,11-05-2011,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,normal,0,Royal Challengers Bangalore,0,9,S Aravind
289,2011,Chennai,12-05-2011,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,normal,0,Chennai Super Kings,18,0,MS Dhoni
290,2011,Indore,13-05-2011,Kochi Tuskers Kerala,Kings XI Punjab,Kings XI Punjab,normal,0,Kings XI Punjab,0,6,KD Karthik
291,2011,Bangalore,14-05-2011,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,normal,1,Royal Challengers Bangalore,0,4,CH Gayle
292,2011,Mumbai,14-05-2011,Deccan Chargers,Mumbai Indians,Deccan Chargers,normal,0,Deccan Chargers,10,0,A Mishra
293,2011,Dharamsala,15-05-2011,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,normal,0,Kings XI Punjab,29,0,PP Chawla
294,2011,Indore,15-05-2011,Rajasthan Royals,Kochi Tuskers Kerala,Kochi Tuskers Kerala,normal,0,Kochi Tuskers Kerala,0,8,BJ Hodge
295,2011,Mumbai,16-05-2011,Pune Warriors,Deccan Chargers,Deccan Chargers,normal,0,Deccan Chargers,0,6,A Mishra
296,2011,Dharamsala,17-05-2011,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,normal,0,Kings XI Punjab,111,0,AC Gilchrist
297,2011,Chennai,18-05-2011,Chennai Super Kings,Kochi Tuskers Kerala,Chennai Super Kings,normal,0,Chennai Super Kings,11,0,WP Saha
298,2011,Mumbai,19-05-2011,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,normal,0,Kolkata Knight Riders,0,7,YK Pathan
299,2011,Mumbai,20-05-2011,Mumbai Indians,Rajasthan Royals,Mumbai Indians,normal,0,Rajasthan Royals,0,10,SR Watson
300,2011,Dharamsala,21-05-2011,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,normal,0,Deccan Chargers,82,0,S Dhawan
301,2011,Delhi,21-05-2011,Delhi Daredevils,Pune Warriors,Delhi Daredevils,no result,0,,0,0,
302,2011,Bangalore,22-05-2011,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,normal,0,Royal Challengers Bangalore,0,8,CH Gayle
303,2011,Kolkata,22-05-2011,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,normal,0,Mumbai Indians,0,5,JEC Franklin
304,2011,Mumbai,24-05-2011,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,normal,0,Chennai Super Kings,0,6,SK Raina
305,2011,Mumbai,25-05-2011,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,normal,0,Mumbai Indians,0,4,MM Patel
306,2011,Chennai,27-05-2011,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,normal,0,Royal Challengers Bangalore,43,0,CH Gayle
307,2011,Chennai,28-05-2011,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,normal,0,Chennai Super Kings,58,0,M Vijay
308,2012,Chennai,04-04-2012,Chennai Super Kings,Mumbai Indians,Mumbai Indians,normal,0,Mumbai Indians,0,8,RE Levi
309,2012,Kolkata,05-04-2012,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,normal,0,Delhi Daredevils,0,8,IK Pathan
310,2012,Mumbai,06-04-2012,Pune Warriors,Mumbai Indians,Mumbai Indians,normal,0,Pune Warriors,28,0,SPD Smith
311,2012,Jaipur,06-04-2012,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,normal,0,Rajasthan Royals,31,0,AM Rahane
312,2012,Bangalore,07-04-2012,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,normal,0,Royal Challengers Bangalore,20,0,AB de Villiers
313,2012,Visakhapatnam,07-04-2012,Chennai Super Kings,Deccan Chargers,Deccan Chargers,normal,0,Chennai Super Kings,74,0,RA Jadeja
314,2012,Jaipur,08-04-2012,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,normal,0,Rajasthan Royals,22,0,BJ Hodge
315,2012,Pune,08-04-2012,Pune Warriors,Kings XI Punjab,Pune Warriors,normal,0,Pune Warriors,22,0,MN Samuels
316,2012,Visakhapatnam,09-04-2012,Deccan Chargers,Mumbai Indians,Deccan Chargers,normal,0,Mumbai Indians,0,5,RG Sharma
317,2012,Bangalore,10-04-2012,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,normal,0,Kolkata Knight Riders,42,0,L Balaji
318,2012,Delhi,10-04-2012,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,normal,0,Delhi Daredevils,0,8,M Morkel
319,2012,Mumbai,11-04-2012,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,normal,0,Mumbai Indians,27,0,KA Pollard
320,2012,Chennai,12-04-2012,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,normal,0,Chennai Super Kings,0,5,F du Plessis
321,2012,Chandigarh,12-04-2012,Pune Warriors,Kings XI Punjab,Kings XI Punjab,normal,0,Kings XI Punjab,0,7,AD Mascarenhas
322,2012,Kolkata,13-04-2012,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,normal,0,Kolkata Knight Riders,0,5,Shakib Al Hasan
323,2012,Delhi,19-04-2012,Deccan Chargers,Delhi Daredevils,Deccan Chargers,normal,0,Delhi Daredevils,0,5,KP Pietersen
324,2012,Pune,14-04-2012,Chennai Super Kings,Pune Warriors,Chennai Super Kings,normal,0,Pune Warriors,0,7,JD Ryder
325,2012,Kolkata,15-04-2012,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,normal,0,Kings XI Punjab,2,0,SP Narine
